path,bytes,sha256,classification,disposition,notes
arena01_fg_combat_floor.png.png,7590153,7218dbfe589d667649575163c5441091ae007038e6633d789ec216ee67ff81db,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena 1.png,2898989,3915c1acf5362870617d25f38387da7aa11fe0f6af7a6e437ddc6a95b099e4de,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_bg_mountains.png.png,2566931,b8375647906d2d791afc03af259d3d11ab95af6088228cb04ca7ddd68d4bed7e,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_bg_sky.png.png,6282224,5d2ef9aae17e9cc26e5b04c2456e08b397ef9e129c9b2165d3757b284fce1d13,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_fg_combat_floor.png.png,2321540,0b8e54773c1c82e806d14efbf74edf3e222e7e2e6ab6909ddd0e61cc1133daa2,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_fg_props.png.png,1376422,39b34620cdf2e36858f95ce8a7e965e8324c0a23201a27d72531ebc98d66efd6,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_fg_props_left.png.png,1711000,be93cbc1197a0e995e375cc9940c2d981be38774f10bb83c0df87d9ac2d81e28,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_fg_props_right.png.png,1206771,ab511387abeb021561589389f3181a2733070cf3875ea399f3055eecd7eb3144,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_mg_arch_left.png.png,4166817,7a7af6cdc0256d5183cf2aa963855f10bc7152986c56bd675fcde4c8b015fe87,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_mg_arch_right.png.png,6540467,f26d4ff09dcf0fbbc9e5832d1d60db73d52e4001d370016323c403008d63cf7b,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_mg_back_architecture.png.png,2098387,e23bc2c1ea6f00197e747e0c9a07abd33441295275ef7e31414117ab1b6fc856,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_mg_center_stairs.png.png,2966253,f26161ae17ad573dbec9ca5fcedd6c72bf7eee776cdbaa5e21943997614a7734,reference,retain-read-only,production candidate only after rights and visual review
arena1/arena01_mg_crystal_core.png.png,1796017,a23563740046781f8186298bdd934f5458d30d8aea8af4847419c561de988438,reference,retain-read-only,production candidate only after rights and visual review
arena1/full_art.png,2710294,7849ad9f30152add1cb3dfb3237184261efce9b768025bb2e990021ca99041ce,reference,retain-read-only,production candidate only after rights and visual review
carte/comune_single_branch.png,947209,9bb877aae20c405e5c1db984987193149a3be38654ddfed62c887423350d6e40,reference,retain-read-only,production candidate only after rights and visual review
carte/comune_two_branch.png,1007513,3f774dc85f14df2c8db6a8e4b7fc52e4784cbd4bdcfd4c714c072e454f6b6378,reference,retain-read-only,production candidate only after rights and visual review
carte/epic.png,1671430,50a914f19197563faac0e68ab0e275b40438b6c963b773990f782ef5c7b69d00,reference,retain-read-only,production candidate only after rights and visual review
carte/legendary.png,2468511,f155b67b05ad3239866744c186937bca6f0c64282aed8eb785f7fd1c44c60b7f,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 09_41_18.png",2807742,58f997286a52e894d726bb03a56ca5cf85dc83df67c457a5879ad9c8fdbbb98b,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 10_35_19 (1).png",3100252,88431d8426208f992c4c5696a035ad9e2ee05331dea25aacfe169015cd83fc54,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 10_35_19 (2).png",2881684,e6831cdc15e23311dd9dd16e6f0e553065f8392666b8e80b5adf052a289085fe,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 10_39_49.png",2578689,ba8e7fb8437f2755486739ce0ece4e31f5dbed64304eb04a13379bfc97a49df1,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 16_39_30.png",2384287,79910d377b0f447931a30f7d36d7bc5ef58ae1b06417860c39ec2f0e7ba63503,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 16_58_02.png",2572211,057571b68ec8796e055db88af1a45a5c04caf025bc3618167863a09d02ca59b0,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_16_24.png",3176543,566d7bd59b125c7ca318577f73add64e7c55c92555ea80afeb56cb04909f5811,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_25_29.png",3107737,0abf8d17bf43b1f2758497dee21fbc55676a9bd9f2a6793c676c5744b3b775cd,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_38_15.png",3148364,069119b4f6b4115339be683d907943dff7a61f00521a58405532a4bbf7c0eb8a,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_40_02.png",3105521,8884fa6ee1961cf82279f19dae2d0185d6f0f9f92860cff65e2ce96b9c2e6b45,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_41_27.png",3229332,51afcccfa3ed652dac366a37ed62402e8021e2b62f5d5541dfad7c11283b611c,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_44_07.png",3287359,ceaaaeda1d71ac23332b70943943dec5197ae4493021ab3abb52d90d849b9977,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_48_37.png",3193507,3963bc021a8927befb19714f15f1c0ac76151ff5126fe89ea2c9a8b3d52884bd,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_51_39.png",3266401,97119fd1ecbed7d9c5d8436ddf18c6e61fcd3da6def1753dcf987add13718da0,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 27 apr 2026, 17_59_28.png",3264646,39af6fb3c03a5d303c54f323c401dfd9242dc9a5de6b022fb577a413e9764513,reference,retain-read-only,production candidate only after rights and visual review
"ChatGPT Image 28 apr 2026, 15_12_57.png",1727487,cdf690f2ab4663fe0bb051304f63f5c7ebdf01093a29993f5bef02e4b8023d3c,reference,retain-read-only,production candidate only after rights and visual review
Gemini_Generated_Image_e0lykoe0lykoe0ly-Photoroom.png,3616890,14bac01d944138648e39e716b7653e03dfc991cb463fad70f9226e7f023ed600,reference,retain-read-only,production candidate only after rights and visual review
hero.json.txt,8832,7ba5084b6828bf95e3e3e373ed0dc4f101b13d80f61a675d15a1668934b8d7dc,reference,retain-read-only,20 candidate heroes; approval deferred to v1.18
HeroSmash/.git/COMMIT_EDITMSG,44,da32705363f5c453aa4e9e36d01c426ea5b1e1fb23e226d57d4ef3a7bf297c26,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/config,288,a1792c1bbda3fc60c961c63616343d28b3923680847f5a9b26dda46984d8931d,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/description,73,85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/gk/config,106,be756c775a8cf82fe0dc31677580d87442457042af7273e8bc415dc6c9ec63cb,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/HEAD,21,28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/applypatch-msg.sample,478,0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/commit-msg.sample,896,1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/fsmonitor-watchman.sample,4726,e0549964e93897b519bd8e333c037e51fff0f88ba13e086a331592bf801fa1d0,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/post-update.sample,189,81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/pre-applypatch.sample,424,e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/pre-commit.sample,1649,57185b7b9f05239d7ab52db045f5b89eb31348d7b2177eab214f5eb872e1971b,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/pre-merge-commit.sample,416,d3825a70337940ebbd0a5c072984e13245920cdf8898bd225c8d27a6dfc9cb53,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
HeroSmash/.git/hooks/pre-push.sample,1374,ecce9c7e04d3f5dd9d8ada81753dd1d549a9634b26770042b58dda00217d086a,obsolete,retain-read-only,"nested Git metadata; retained locally, never imported"
