path,target_path,bytes,sha256,working_sha256,classification,disposition,notes
.gitignore,.gitignore,1567,fc5c934ea9822c9b2d6af708be82218ae00d6ff53529ba390173ccab24007c9e,86f78f1c13bd5de8e428546c6672768e95ca4d5c096665dde219c63763bc8caf,reference,keep,project governance or historical documentation; target identifies retention
AGENTS.md,AGENTS.md,4071,0374318d0f91614fbd43af6c98b1c89d20ea8c254a104ac142a8c8759e7a6296,0374318d0f91614fbd43af6c98b1c89d20ea8c254a104ac142a8c8759e7a6296,reference,keep,project governance or historical documentation; target identifies retention
ARCHITECTURE.md,ARCHITECTURE.md,4842,5acfb87d2fa993c05cd0eb7d33c991e704b091c39bfd286e734f6e3c0e27e6ef,5acfb87d2fa993c05cd0eb7d33c991e704b091c39bfd286e734f6e3c0e27e6ef,reference,keep,project governance or historical documentation; target identifies retention
PATCH_NOTES_ARENA_FLOW_HERO_DRAFT_v1_8.md,legacy/web-prototype/PATCH_NOTES_ARENA_FLOW_HERO_DRAFT_v1_8.md,800,d52cc563ec9f67919c75a2a4ae52292b6ce43c18267e17a3890c3de40fafbffe,066a27ae406da8b69dc089117fc5a7e96acc811aad388024e2b7f346e0b092cf,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_BLANK_UI_ASSETS_CLEANUP_v1_12_3.md,legacy/web-prototype/PATCH_NOTES_BLANK_UI_ASSETS_CLEANUP_v1_12_3.md,516,ffad544706f7e280b89b588d1d44ce89fdaca9d415808ec72864df8192ccd631,8a7031e5eb2702fb31c9827e8de6dc0b84db1de036ce3aa58c7abbc1c7020390,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_HERO_DRAFT_DIRECT_REPLACEMENT_v1_14_3.md,legacy/web-prototype/PATCH_NOTES_HERO_DRAFT_DIRECT_REPLACEMENT_v1_14_3.md,735,7f7865b95daac241ea7bccd38c87c8e7bf68ede3ae0dda2d1a64de0ba49a3844,891c5eb67e30c9d5d227534e9652438fcc5fee2f9532c49d1a09712de44c3ee0,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_HERO_DRAFT_FULL_REPLACEMENT_v1_14_2.md,legacy/web-prototype/PATCH_NOTES_HERO_DRAFT_FULL_REPLACEMENT_v1_14_2.md,792,a3b853640a90a86902abcc63f4426b0ff6d5429a68f8f6b1ab94133ed5c60dc1,98faab694d4e2c25cc641bcc2be6ee5ed79166d0bde67480d6d4a6a5d4d60ab4,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_HERO_DRAFT_TIMER_v1_14_1.md,legacy/web-prototype/PATCH_NOTES_HERO_DRAFT_TIMER_v1_14_1.md,590,7de6b6ae6eb178a445c4667c7eed90e89b9db98b7cfbc31cff50e520785f9746,9ba2cbb149249d761c25faa7e5d16ddd0446611db62fc5ed6d6c356dde2a6e13,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_HERO_SELECT_REDESIGN_v1_14_0.md,legacy/web-prototype/PATCH_NOTES_HERO_SELECT_REDESIGN_v1_14_0.md,612,2c3459dabd3752284974c9d417efe32359038625b5b6d941a67fb24f224d4666,22dbbca65770ab7128c57ed99447d1d8826f45bb45bb35313c948ac7b5e13c54,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_HOME_LAYOUT_POLISH_v1_13_1.md,legacy/web-prototype/PATCH_NOTES_HOME_LAYOUT_POLISH_v1_13_1.md,548,d058d53143d8d69103f8052558fb36f52f21861d54b9b528e29847e0ce355e19,a2bd0f3be7129cd9197d45c43a7d1bff4d45053b26d2530142a4dc5b551f2614,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_LATEST_MARKET_UI_FIXES_v1_12_4.md,legacy/web-prototype/PATCH_NOTES_LATEST_MARKET_UI_FIXES_v1_12_4.md,859,4dc3106b7b1a154256a6c950789d417a66a0a3e84364a96c73ee5823be3c79a0,46783ce2f79d2a6284d474e1803cc68882f49d180eb2e8ab13e56fdd67311b6e,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_MARKET_ACTIONS_POLISH_v1_11.md,legacy/web-prototype/PATCH_NOTES_MARKET_ACTIONS_POLISH_v1_11.md,834,be0480ebba2f0361af1fe944b8be5238bc190be25a05f219aa9c55d0d94ab2ec,da8472c5f8f7214b1377e9ede0d8bdf2f103937189f5687ff18c52d181db9f97,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_MARKET_READABILITY_CARD_INSPECT_v1_10.md,legacy/web-prototype/PATCH_NOTES_MARKET_READABILITY_CARD_INSPECT_v1_10.md,1383,f00d9bb8cd63b171ab92e699767e878ff1e8e2cffd7723a039e36d6df10516a1,3d9f692f37f5b56aae5f92ee4d98474b79f6d84118508d6a05b9266f2669154d,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_MARKET_UI_ASSET_INTEGRATION_v1_12_1.md,legacy/web-prototype/PATCH_NOTES_MARKET_UI_ASSET_INTEGRATION_v1_12_1.md,428,92b880dcc335382f269d5a751e976cb0cc892053e1049e8f16add362f8d2385b,dc2cb6801e1a3572cbe41aa92489c5e3ba1ab8c055a64b7bc66639760f47c528,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_MARKET_UI_RESKIN_v1_12.md,legacy/web-prototype/PATCH_NOTES_MARKET_UI_RESKIN_v1_12.md,645,076ba4630f81408b0b08862c1826e1a6d04b5f7e5471ab46ca2e5866b4a2b7e9,78a14e942883754733347c65323fdcd3468f2f3108381798dfe5561390d81389,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_MOBILE_HOME_HUB_v1_13_0.md,legacy/web-prototype/PATCH_NOTES_MOBILE_HOME_HUB_v1_13_0.md,655,bf54b343380b7e6eb79df34e961c27e0fb44761cef4d582865fe1085ad738bf4,98f5217942c0086370677e691e64e20891e004e67d38ab31a71477b9e3654d6d,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_NO_CARD_SELLING_v1_11_1.md,legacy/web-prototype/PATCH_NOTES_NO_CARD_SELLING_v1_11_1.md,393,1f4d471745f4bb4aa4610961b311b636b6ba46ef5595a3b631ad27793135e5f0,27ebd27844d268420d3c6529fdbb742ec896855bf2680339e41b57b191d2c07f,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_ROUND_RECAP_OVERLAY_v1_9.md,legacy/web-prototype/PATCH_NOTES_ROUND_RECAP_OVERLAY_v1_9.md,813,35875044893c7f27be9aa2f2df11d8c7462a749369ae6d4b90e712fd0b23536e,927fce5c00929bf5db435e2acd1647f0c9e8d2806326c2be55d231e62056eb5e,reference,git-mv,project governance or historical documentation; target identifies retention
PATCH_NOTES_v1_12_10_MARKET_RANDOM_ASSET_WIRING.md,legacy/web-prototype/PATCH_NOTES_v1_12_10_MARKET_RANDOM_ASSET_WIRING.md,448,27ea891f2f76fb674e799450f66cd1e8650bea7ca9beefb5f16f83a1cdc30a6b,2fd9cc102335811cde1d570d912640ed4026c5a7007890bc487695ceb9401016,reference,git-mv,project governance or historical documentation; target identifies retention
PROJECT_MASTER.md,PROJECT_MASTER.md,7204,06144d812f6a29053f2149669848d6348a37585c6398bc937ec371cc71cd15cb,06144d812f6a29053f2149669848d6348a37585c6398bc937ec371cc71cd15cb,reference,keep,project governance or historical documentation; target identifies retention
PROJECT_STATE.md,PROJECT_STATE.md,4382,5a1c42cf29051a274d85ecc3d0fc54aa949835ab88fb33c951e500eb16ed1308,5a1c42cf29051a274d85ecc3d0fc54aa949835ab88fb33c951e500eb16ed1308,reference,keep,project governance or historical documentation; target identifies retention
README.md,legacy/web-prototype/README.md,41786,6935189b16e312fc01afe10a11427c18be2b040b6e8afa08963d58857bed5e3c,7cfd4303515f1bc42e0639fd29ef51f8e431f14da2b6b385afb5cefe6398e2fc,reference,git-mv,project governance or historical documentation; target identifies retention
art/blender/README.md,art/blender/README.md,333,0579110ad1149aff8e4baaa33a5884047ddc7bc92c0d974c3b0e0c0e2f10a757,0579110ad1149aff8e4baaa33a5884047ddc7bc92c0d974c3b0e0c0e2f10a757,reference,keep,project governance or historical documentation; target identifies retention
art/exports/arenas/.gitkeep,art/exports/arenas/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,reference,keep,project governance or historical documentation; target identifies retention
art/exports/characters/.gitkeep,art/exports/characters/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,reference,keep,project governance or historical documentation; target identifies retention
art/exports/props/.gitkeep,art/exports/props/.gitkeep,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,reference,keep,project governance or historical documentation; target identifies retention
assets/arenas/arena01_beast_crucible/arena01_bg_mountains.png,legacy/web-prototype/assets/arenas/arena01_beast_crucible/arena01_bg_mountains.png,1947207,ac13c432168406b0b243b09f092a382ef71a5f55ff093fa2b9d4bd2396d367d0,ac13c432168406b0b243b09f092a382ef71a5f55ff093fa2b9d4bd2396d367d0,reference,git-mv,production candidate only after rights and visual review
assets/arenas/arena01_beast_crucible/arena01_bg_sky.png,legacy/web-prototype/assets/arenas/arena01_beast_crucible/arena01_bg_sky.png,4379555,00ffe151a38af94b256e201de551a0c537c6f38f29f8710d6f45d1bce3e13e9f,00ffe151a38af94b256e201de551a0c537c6f38f29f8710d6f45d1bce3e13e9f,reference,git-mv,production candidate only after rights and visual review
assets/arenas/arena01_beast_crucible/arena01_fg_combat_floor.png,legacy/web-prototype/assets/arenas/arena01_beast_crucible/arena01_fg_combat_floor.png,2321519,f2cb148b1f25ed72ed4fe5ebdacb500e11d44da767603c02845c9976a00e4766,f2cb148b1f25ed72ed4fe5ebdacb500e11d44da767603c02845c9976a00e4766,reference,git-mv,production candidate only after rights and visual review
assets/arenas/arena01_beast_crucible/arena01_mg_back_architecture.png,legacy/web-prototype/assets/arenas/arena01_beast_crucible/arena01_mg_back_architecture.png,4107537,eedd9031fdfb265781a76f0fb26a4da5b5ead57cb9edbac850c8d18de40a922d,eedd9031fdfb265781a76f0fb26a4da5b5ead57cb9edbac850c8d18de40a922d,reference,git-mv,production candidate only after rights and visual review
assets/arenas/arena01_beast_crucible/arena01_mg_crystal_core.png,legacy/web-prototype/assets/arenas/arena01_beast_crucible/arena01_mg_crystal_core.png,1072702,ae9422a824b1e815f7343b1be6b8a7fdd0f922faa3a52dd9e9144c64deda34d4,ae9422a824b1e815f7343b1be6b8a7fdd0f922faa3a52dd9e9144c64deda34d4,reference,git-mv,production candidate only after rights and visual review
assets/branches/assault.png,legacy/web-prototype/assets/branches/assault.png,127656,02369e4b32693776c13cb482832d867c06f63af90ccf958718e1546c4e8b3abf,02369e4b32693776c13cb482832d867c06f63af90ccf958718e1546c4e8b3abf,reference,git-mv,production candidate only after rights and visual review
assets/branches/dodge.png,legacy/web-prototype/assets/branches/dodge.png,102578,97d62eb75938bb00b8d191f66be7d715fdb9c2637b4e7583830a281cb55940a2,97d62eb75938bb00b8d191f66be7d715fdb9c2637b4e7583830a281cb55940a2,reference,git-mv,production candidate only after rights and visual review
assets/branches/essence.png,legacy/web-prototype/assets/branches/essence.png,94382,d94c4ebf872fa1f7d54ead722f2208aaf1f717b2bf1105dfb6f4cd04d8ad2e18,d94c4ebf872fa1f7d54ead722f2208aaf1f717b2bf1105dfb6f4cd04d8ad2e18,reference,git-mv,production candidate only after rights and visual review
assets/branches/guardian.png,legacy/web-prototype/assets/branches/guardian.png,138651,9719483ecdf1d55d139d86a739a8521d7ebcfa4ba152e2523268a679e2397098,9719483ecdf1d55d139d86a739a8521d7ebcfa4ba152e2523268a679e2397098,reference,git-mv,production candidate only after rights and visual review
assets/branches/healing.png,legacy/web-prototype/assets/branches/healing.png,102370,0272611840674b2387666c7619e12c38441a0b75e607177d1e239725aee19b3f,0272611840674b2387666c7619e12c38441a0b75e607177d1e239725aee19b3f,reference,git-mv,production candidate only after rights and visual review
assets/branches/ice.png,legacy/web-prototype/assets/branches/ice.png,128115,3be4f8f5cd96bec50204d5dc40975244ab349e4e69372aae517fed6fc89c019d,3be4f8f5cd96bec50204d5dc40975244ab349e4e69372aae517fed6fc89c019d,reference,git-mv,production candidate only after rights and visual review
assets/branches/power.png,legacy/web-prototype/assets/branches/power.png,97528,4c4f14e96a85f4e742086b0549f5b4e2493f3b9d780f3c40031ee0d2155f7b3e,4c4f14e96a85f4e742086b0549f5b4e2493f3b9d780f3c40031ee0d2155f7b3e,reference,git-mv,production candidate only after rights and visual review
assets/branches/precision.png,legacy/web-prototype/assets/branches/precision.png,107945,9193f6f5622b5318df376ee281bf56df06a6beec4b0583ec4a15cae5370ff77f,9193f6f5622b5318df376ee281bf56df06a6beec4b0583ec4a15cae5370ff77f,reference,git-mv,production candidate only after rights and visual review
assets/branches/rage.png,legacy/web-prototype/assets/branches/rage.png,71108,6bb0b132f2e7ee1e071f206d2cc11363636793e38a8500bc09ac75201c3f703c,6bb0b132f2e7ee1e071f206d2cc11363636793e38a8500bc09ac75201c3f703c,reference,git-mv,production candidate only after rights and visual review
assets/branches/shield.png,legacy/web-prototype/assets/branches/shield.png,111960,9c7d6b4c61c48da99535843702c6b8bf0d053bf327c2d8698e7d02ac4c8a69ea,9c7d6b4c61c48da99535843702c6b8bf0d053bf327c2d8698e7d02ac4c8a69ea,reference,git-mv,production candidate only after rights and visual review
assets/branches/toxin.png,legacy/web-prototype/assets/branches/toxin.png,130625,34ac046eb05d22fb9b3ba3fc569e7e54329e83e3af6943d7f5c47998163e8d17,34ac046eb05d22fb9b3ba3fc569e7e54329e83e3af6943d7f5c47998163e8d17,reference,git-mv,production candidate only after rights and visual review
assets/branches/wound.png,legacy/web-prototype/assets/branches/wound.png,63599,ffe4a06fe433961464111e205c4d6ffd49f3aa1623f71c3024fb9f2f5e4c9b9d,ffe4a06fe433961464111e205c4d6ffd49f3aa1623f71c3024fb9f2f5e4c9b9d,reference,git-mv,production candidate only after rights and visual review
assets/cards/assault_epic.svg,legacy/web-prototype/assets/cards/assault_epic.svg,2232,263055cfe972b5760fe31134e83a805416d5b3a1c383a98a6edb5422f0f53762,a6c68b599c2e9629425fe65d18601c1773b126038615a0eaa7bf8106c8695c59,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/assault_legendary.svg,legacy/web-prototype/assets/cards/assault_legendary.svg,2029,1f6cdf4861805920f857352ac9e780949d8473637eb7f4316d861ee525a6b151,5e82b74b379d232ef5d488b7ea929e3e102937b04f029be5e3ad8b91d21832ce,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/assault_normal.svg,legacy/web-prototype/assets/cards/assault_normal.svg,2022,d00fa3890a7fee04ba0c18c1bb391646c018c94938793d0bde9038409d8eee3a,172bd0ac2626653e0633cec375923dc919cadd1ad6832ab5aeacf08eb10efbc4,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/dodge_epic.svg,legacy/web-prototype/assets/cards/dodge_epic.svg,2223,013e5300a0eaed1d13ea1f0ea4a90ebaa308f2322a04a1e0ea560948f9ce77c0,67bb7ab925ce43f1c6f559dbf3bb4b6c820952b31e25840bbb76f21094b15cdf,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/dodge_legendary.svg,legacy/web-prototype/assets/cards/dodge_legendary.svg,2018,8dea23ae118309daa79b978ed14cd9548b7315bf94f6cdae18aab3c93cd498c5,3a478eeb7cf6f0c72b247bd86c8f08a790af958dec640db21b413f88457dc0c4,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/dodge_normal.svg,legacy/web-prototype/assets/cards/dodge_normal.svg,2015,5c4a5bf0b516088402ee222a2b9579dd9b1c5c40baefeaf5bcabb9328944f259,f3ea5675985fd222ba745620b7a118fe35365364f2abb403e12c14dd4eecb15f,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/essence_epic.svg,legacy/web-prototype/assets/cards/essence_epic.svg,2215,85b001779b17aac2822c04fb5917384bdd489feabef97cf9df09abdf23150ceb,afc413487b232b51d784db5acb1c466d83a34e5c43c27af16e6503ebc1dcc891,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/essence_legendary.svg,legacy/web-prototype/assets/cards/essence_legendary.svg,2003,d6bb64a27856de0b1bbe2e6a475367be61ef5a3b6d1e2b12a6940ae11d7f30f5,11517215d499f9ec5e0c4e5dc4b5e35348a47a36039a9a572af99e87b3e513e0,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/essence_normal.svg,legacy/web-prototype/assets/cards/essence_normal.svg,2005,5e5f13f26007e0a965dbb549d7e1419cd4e45dcad24520d419c84da4c63328e0,3f681cb14ad7b38d8780ea23a91a20df64bf802a2f0b7217185cac7c69501ae3,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/frames/epica.png,legacy/web-prototype/assets/cards/frames/epica.png,145340,8d513d9e9405a85547d244ef0938de0d5ad59803b8b63bca401d52b5e8166cd5,8d513d9e9405a85547d244ef0938de0d5ad59803b8b63bca401d52b5e8166cd5,reference,git-mv,production candidate only after rights and visual review
assets/cards/frames/leggendaria.png,legacy/web-prototype/assets/cards/frames/leggendaria.png,149883,936c76da2319d19308206b558d2ee6fa7a744e4e0f1a25ddaf03de30c5177d68,936c76da2319d19308206b558d2ee6fa7a744e4e0f1a25ddaf03de30c5177d68,reference,git-mv,production candidate only after rights and visual review
assets/cards/frames/normale_1.png,legacy/web-prototype/assets/cards/frames/normale_1.png,126927,8b8469fb7ac466164ccf91de6eee8a71945045f6b3532b6e8e1ec8e7f44774ca,8b8469fb7ac466164ccf91de6eee8a71945045f6b3532b6e8e1ec8e7f44774ca,reference,git-mv,production candidate only after rights and visual review
assets/cards/frames/normale_2.png,legacy/web-prototype/assets/cards/frames/normale_2.png,136392,46de8e151824a1b8d200dfb6a18c15580a84a2540d243ca8eccbcf8b2b7168d2,46de8e151824a1b8d200dfb6a18c15580a84a2540d243ca8eccbcf8b2b7168d2,reference,git-mv,production candidate only after rights and visual review
assets/cards/guardian_epic.svg,legacy/web-prototype/assets/cards/guardian_epic.svg,2203,7b9bb85c1e8019d936d78d471fbf8184ae11fcd62c4ebef64586685d61a537d2,093af7809c4bbc21d6c7da7dbac239220c673a04fe64c898c7d7e3612dcb24b7,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
assets/cards/guardian_legendary.svg,legacy/web-prototype/assets/cards/guardian_legendary.svg,1990,13b0959a9bb33c5f88fd3f3a7cbffc3e64db6731810d73d6af7ef58d4beb18b5,5c2afaeb282279cfcaa73aca47a6c2c150df530f9ae4b2055c29638e141cf34f,generated-asset,git-mv,prototype placeholder; retain for behavior oracle
